"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.162753512E0,4.760881901E0,7.212589979E-1,1.983520031E0,5.207740655E0
1.167763971E0,3.920525074E0,6.533020139E-1,2.904309034E0,4.922634594E0
1.172774358E0,3.410137892E0,4.678229988E-1,3.320981026E0,4.782971228E0
1.177784589E0,3.151294947E0,5.893430114E-1,4.862619877E0,5.824350358E0
1.182794971E0,2.457442999E0,8.936160207E-1,6.636448860E0,7.133023844E0
1.187805433E0,1.667307019E0,1.203045011E0,7.592133999E0,7.865604150E0
1.192815681E0,1.624637961E0,1.294378996E0,7.841846943E0,8.112301089E0
1.197826063E0,2.036144018E0,1.136003017E0,7.531754971E0,7.884397140E0
1.202836296E0,2.600800991E0,9.280800223E-1,7.026597023E0,7.549739336E0
1.207846756E0,2.931953907E0,7.464280128E-1,6.218722820E0,6.915636052E0
1.212857142E0,2.739644051E0,4.881730080E-1,4.918660164E0,5.651298985E0
1.217867391E0,2.936038971E0,5.798169971E-1,4.065598965E0,5.048327201E0
1.222877851E0,2.894686937E0,6.390939951E-1,2.907011032E0,4.151911215E0
1.227888247E0,2.079864025E0,6.634359956E-1,-2.279119939E-1,2.194977348E0
1.232898478E0,1.785835981E0,7.397590280E-1,-4.692209959E-1,1.989125917E0
1.237908861E0,2.183893919E0,-4.364100099E-2,1.511742949E0,2.656438204E0
1.242919088E0,2.052798033E0,-4.703100026E-1,1.445652962E0,2.554424348E0
1.247929548E0,2.074347973E0,-9.669499844E-2,6.914709806E-1,2.188698598E0
1.252939935E0,2.500441074E0,4.403910041E-1,4.537599906E-2,2.539332350E0
1.257950165E0,2.908322096E0,7.158330083E-1,-2.306440026E-1,3.003989175E0
1.262960548E0,3.067630053E0,9.135209918E-1,-6.025980115E-1,3.256992340E0
1.267971000E0,3.140341997E0,1.173266053E0,-1.048463941E0,3.512488822E0
1.272981232E0,3.251137972E0,1.305595040E0,-1.293593049E0,3.734683320E0
1.277991634E0,3.315553904E0,1.337061048E0,-1.413707972E0,3.844372532E0
1.283002096E0,3.257443905E0,1.344254017E0,-1.499521017E0,3.829689666E0
1.288012328E0,3.077270985E0,1.436368942E0,-1.318086028E0,3.642815289E0
1.293022716E0,2.671124935E0,1.739460945E0,-7.019490004E-1,3.263949325E0
1.298032949E0,2.431790113E0,1.715059042E0,1.035490036E-1,2.977541447E0
1.303043403E0,2.458048105E0,1.319946051E0,6.569139957E-1,2.866320649E0
1.308053790E0,2.570965052E0,9.572150111E-1,1.274335980E0,3.024905629E0
1.313064249E0,2.648999929E0,7.003430128E-1,1.928455949E0,3.350615363E0
1.318074405E0,2.735609055E0,4.912709892E-1,2.597981930E0,3.804525488E0
1.323084851E0,2.826318026E0,2.712950110E-1,3.342843056E0,4.385917722E0
1.328095084E0,2.931346893E0,-4.086999968E-2,3.894099951E0,4.874267062E0
1.333105548E0,3.061103106E0,-4.503819942E-1,4.342792988E0,5.332264725E0
1.338115935E0,3.206271887E0,-9.424830079E-1,4.636581898E0,5.715447955E0
1.343126166E0,3.321419954E0,-1.406895995E0,4.694524765E0,5.920282901E0
1.348136548E0,3.345830917E0,-1.783046007E0,4.593047142E0,5.955662821E0
1.353147010E0,3.201093912E0,-2.033513069E0,4.410209179E0,5.816538716E0
1.358157233E0,2.935159922E0,-2.071954012E0,4.182669163E0,5.513880532E0
1.363167615E0,2.660552025E0,-2.352047920E0,3.683331013E0,5.116404386E0
1.368177848E0,2.438041925E0,-2.641151905E0,3.174838066E0,4.795761521E0
1.373188307E0,2.319816113E0,-2.708271027E0,2.935909986E0,4.619074171E0
1.378198694E0,2.151990891E0,-2.697160006E0,2.685528040E0,4.372390392E0
1.383208921E0,1.879740000E0,-3.038072109E0,2.331080914E0,4.265822644E0
1.388219304E0,1.693196058E0,-3.337390900E0,2.262904882E0,4.373308749E0
1.393229773E0,1.601662993E0,-3.620863914E0,2.206788063E0,4.532757813E0
1.398240006E0,1.417052984E0,-4.000069141E0,2.140645027E0,4.752994154E0
1.403250365E0,1.194619060E0,-4.236447811E0,2.155839920E0,4.901249893E0
1.408260598E0,9.746239781E-1,-4.631169796E0,2.014348030E0,5.143464160E0
1.413271044E0,6.725360155E-1,-4.921168804E0,1.878450036E0,5.310252501E0
1.418281430E0,4.167349935E-1,-5.130082130E0,1.724123001E0,5.428076164E0
1.423291661E0,2.712660134E-1,-5.346739769E0,1.610257983E0,5.590540419E0
1.428302044E0,3.016000092E-1,-5.475737095E0,1.454131961E0,5.673549071E0
1.433312505E0,2.226080000E-1,-5.529176235E0,1.220430970E0,5.666638855E0
1.438322767E0,1.528729945E-1,-5.573863029E0,8.941259980E-1,5.647192269E0
1.443333150E0,2.992939949E-1,-5.721662045E0,5.881770253E-1,5.759595963E0
1.448343382E0,4.623860121E-1,-5.852260113E0,4.811449945E-1,5.890182489E0
1.453353841E0,6.709589958E-1,-6.089620113E0,5.075960159E-1,6.147463934E0
1.458364228E0,8.053550124E-1,-6.436601162E0,4.685469866E-1,6.503688760E0
1.463374445E0,8.583610058E-1,-7.013473034E0,5.104740262E-1,7.084219883E0
1.468384904E0,8.614609838E-1,-7.676095963E0,6.700109839E-1,7.753288268E0
