"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.035976150E-1,-2.743760049E-1,-1.817349941E-1,-1.378265977E0,1.417013374E0
8.086077690E-1,-3.330399990E-1,-3.948200122E-2,-1.727759004E0,1.760007285E0
8.136179230E-1,-3.380669951E-1,8.812000044E-3,-2.047482967E0,2.075223710E0
8.186280770E-1,-2.611339986E-1,5.353699997E-2,-2.336301088E0,2.351459111E0
8.236382260E-1,-1.272590011E-1,3.759299964E-2,-2.517179012E0,2.520674169E0
8.286483050E-1,2.806900069E-2,4.146799818E-2,-2.675479889E0,2.675948449E0
8.336584620E-1,2.324620038E-1,3.950199857E-2,-2.873171091E0,2.882830399E0
8.386686150E-1,3.433800042E-1,1.855700091E-2,-2.971194983E0,2.991028889E0
8.436787640E-1,4.127100110E-1,5.288600177E-2,-2.980348110E0,3.009252622E0
8.486889180E-1,4.388079941E-1,8.826600015E-2,-2.928529978E0,2.962537962E0
8.536990580E-1,4.184930027E-1,7.009799778E-2,-2.808624983E0,2.840497213E0
8.587089830E-1,3.345839977E-1,8.740399778E-2,-2.677450895E0,2.699690576E0
8.637191350E-1,1.403959990E-1,4.678799957E-2,-2.562756062E0,2.567025279E0
8.687292930E-1,-8.735200018E-2,2.425999939E-2,-2.465806961E0,2.467472976E0
8.737394470E-1,-2.680459917E-1,-7.463599741E-2,-2.414650917E0,2.430629185E0
8.787496110E-1,-4.019199908E-1,-7.135800272E-2,-2.379534960E0,2.414294570E0
8.837597640E-1,-5.130230188E-1,-8.523300290E-2,-2.386192083E0,2.442205958E0
8.887699320E-1,-6.419209838E-1,-1.084019989E-1,-2.386746883E0,2.473939011E0
8.937800860E-1,-7.629849911E-1,-7.771000266E-2,-2.436383009E0,2.554241004E0
8.987901650E-1,-7.166410089E-1,-5.555599928E-2,-2.451546907E0,2.554749116E0
9.038003170E-1,-6.253319979E-1,-8.360800147E-2,-2.441936016E0,2.522118536E0
9.088104710E-1,-5.358110070E-1,-9.903699905E-2,-2.464051962E0,2.523579567E0
9.138206250E-1,-4.402239919E-1,-1.251109987E-1,-2.469542980E0,2.511591618E0
9.188307780E-1,-2.907930017E-1,-1.811580062E-1,-2.516484022E0,2.539698924E0
9.238409270E-1,-1.356499940E-1,-2.343039960E-1,-2.593529940E0,2.607622831E0
9.288510810E-1,1.557299960E-2,-3.089829981E-1,-2.655050039E0,2.673013977E0
9.338612350E-1,1.533720046E-1,-3.846170008E-1,-2.683063030E0,2.714826041E0
9.388711500E-1,2.118539959E-1,-4.585460126E-1,-2.664062023E0,2.711525959E0
9.438813020E-1,2.066749930E-1,-5.208209753E-1,-2.685061932E0,2.742904777E0
9.488914370E-1,1.996710002E-1,-5.011100173E-1,-2.678540945E0,2.732317945E0
9.539015910E-1,1.640509963E-1,-4.395950139E-1,-2.671015024E0,2.711914041E0
